lang_key,translation_key,translation_text,verified,translated
en,DISPENSE_SELECTED,Dispense Selected,FALSE,FALSE
en,DISPENSE_SELECTED_ORDERS,Dispense Selected Orders,FALSE,FALSE
en,DISPENSE_UOM,Dispense Uom,FALSE,FALSE
en,DISTRICT,District,FALSE,FALSE
en,DOCUMENTS,Documents,FALSE,FALSE
en,DOPPLER_–_VALVES,Doppler � Valves,FALSE,FALSE
en,DRUG_NAME,Drug Name,FALSE,FALSE
en,EDIT_TEMPLATE,Edit Template,FALSE,FALSE
en,EFFECTIVE_DATES,Effective Dates,FALSE,FALSE
en,EFFECTIVE_FROM,Effective From,FALSE,FALSE
en,EFFECTIVE_TO,Effective To,FALSE,FALSE
en,EMERGENCY_LEVEL,Emergency Level,FALSE,FALSE
en,EMERGENCY_VISITS,Emergency Visits,FALSE,FALSE
en,ENCOUNTER,Encounter,FALSE,FALSE
en,ENCOUNTER_DATE,Encounter Date,FALSE,FALSE
en,ENCOUNTER_DATE_FROM,Encounter Date From,FALSE,FALSE
en,ENCOUNTER_LOGS,Encounter Logs,FALSE,FALSE
en,ENCOUNTER_REASON,Encounter Reason,FALSE,FALSE
en,END_DATE,End Date,FALSE,FALSE
en,ER_LEVEL,Er Level,FALSE,FALSE
en,ESTIMATED_BUDGET,Estimated Budget,FALSE,FALSE
en,ESTIMATED_DELIVERY_DATE,Estimated Delivery Date,FALSE,FALSE
en,EXECUTE,Execute,FALSE,FALSE
en,EXPECTED_NEXT_REPOSITIONING,Expected Next Repositioning,FALSE,FALSE
en,EXPECTED_RESPONSE_DATE,Expected Response Date,FALSE,FALSE
en,EXPIRE_IN,Expire In,FALSE,FALSE
en,EXPIRY_DATE_MANDATORY,Expiry Date Mandatory,FALSE,FALSE
en,EXTERNAL_FACILITY_NAME,External Facility Name,FALSE,FALSE
en,EYE_OPENING,Eye Opening,FALSE,FALSE
en,FACILITY_SCOPE,Facility Scope,FALSE,FALSE
en,FAVORITES_TESTS,Favorites Tests,FALSE,FALSE
en,FAVORITE_TESTS,Favorite Tests,FALSE,FALSE
en,FINANCIAL_&_COSTING_INFORMATION,Financial & Costing Information,FALSE,FALSE
en,FLOW_SHEET,Flow Sheet,FALSE,FALSE
en,FORM_NAME,Form Name,FALSE,FALSE
en,FROM_-_TO,From - To,FALSE,FALSE
en,FROM_BED,From Bed,FALSE,FALSE
en,FROM_DEPARTMENT,From Department,FALSE,FALSE
en,FROM_ROOM,From Room,FALSE,FALSE
en,FROM_WARD,From Ward,FALSE,FALSE
en,FROM_WAREHOUSE,From Warehouse,FALSE,FALSE
en,GLASGOW_SCORE,Glasgow Score,FALSE,FALSE
en,HAS_BLACK_BOX_WARNING,Has Black Box Warning,FALSE,FALSE
en,HAZARDOUS/BIOHAZARDOUS_TAG,Hazardous/Biohazardous Tag,FALSE,FALSE
en,HOLIDAY_TYPE,Holiday Type,FALSE,FALSE
en,ICU_DAY_COUNT,Icu Day Count,FALSE,FALSE
en,IMAGE_STATUS,Image Status,FALSE,FALSE
en,IMPLANTS_/_DEVICES,Implants / Devices,FALSE,FALSE
