id;notification_header_id;channel;language;subject;title;body;to_recipient_rule;cc_recipient_rule;bcc_recipient_rule;phone_recipient_rule;is_active;created_by;created_date;last_modified_by;last_modified_date
17;5012;EMAIL;en;Severe / Critical radiology report ready;;Severe / Critical radiology report is ready for patient {{patientName}}. Order ID: {{orderId}}, Report ID: {{reportId}}, Severity: {{reportSeverity}}, Department: {{departmentName}}.;CREATED_BY_USER;;;;true;admin;2026-07-02 00:00:00;admin;2026-07-02 00:00:00
18;5016;EMAIL;en;Severe / Critical Laboratory result;;Severe / Critical Laboratory result is ready for patient {{patientName}}. Order ID: {{orderId}}, Department: {{departmentName}}.;CREATED_BY_USER;;;;true;admin;2026-07-02 00:00:00;admin;2026-07-02 00:00:00
19;5017;EMAIL;en;Resuscitation Emergency Level arrives;;Resuscitation emergency level for patient {{patientName}}. Department: {{departmentName}}.;DEPARTMENT_USERS;;;;true;admin;2026-07-02 00:00:00;admin;2026-07-02 00:00:00
